,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Time
361,awjilah,ly,76.19,58.0,0.0,9.1,29.14,21.3,1563057428.0
362,hovd,mn,57.83,60.0,48.0,2.68,48.01,91.64,1563057430.0
363,nanning,cn,75.2,100.0,90.0,4.47,22.83,108.3,1563057431.0
364,yenagoa,ng,73.67,95.0,99.0,3.02,4.92,6.26,1563057433.0
365,kendari,id,73.49,90.0,37.0,2.73,-3.99,122.52,1563057434.0
366,taber,ca,86.0,28.0,75.0,4.7,49.79,-112.14,1563057394.0
368,zabid,ye,73.85,56.0,73.0,1.43,14.2,44.5,1563057438.0
370,petropavlovsk-kamchatskiy,ru,59.0,67.0,0.0,4.47,53.05,158.65,1563057441.0
371,sibolga,id,81.23,77.0,57.0,6.98,1.74,98.78,1563057443.0
372,kavieng,pg,83.39,74.0,48.0,9.66,-2.57,150.8,1563057444.0
373,labytnangi,ru,50.27,98.0,100.0,8.55,66.66,66.39,1563057446.0
374,mamallapuram,in,82.4,74.0,40.0,11.41,12.63,80.17,1563057447.0
376,gayeri,bf,84.47,53.0,19.0,9.31,12.65,0.49,1563057450.0
377,pundaguitan,ph,77.81,82.0,100.0,3.06,6.37,126.17,1563057452.0
378,bojnurd,ir,75.2,78.0,0.0,9.17,37.47,57.33,1563057453.0
379,port augusta,au,44.01,93.0,90.0,9.17,-32.49,137.76,1563057455.0
380,dicabisagan,ph,79.25,84.0,64.0,1.99,17.08,122.42,1563057456.0
381,narsaq,gl,59.0,51.0,48.0,6.93,60.91,-46.05,1563057458.0
382,obo,cf,66.47,96.0,100.0,1.03,5.39,26.49,1563057459.0
384,meulaboh,id,82.85,72.0,52.0,5.79,4.14,96.13,1563057462.0
385,uusikaupunki,fi,54.0,76.0,0.0,1.12,60.8,21.41,1563057464.0
386,comodoro rivadavia,ar,50.0,61.0,0.0,5.82,-45.87,-67.48,1563057465.0
387,aykhal,ru,57.2,87.0,75.0,4.47,65.95,111.51,1563057467.0
388,yeppoon,au,57.2,35.0,89.0,12.75,-23.13,150.74,1563057468.0
389,byron bay,au,59.0,40.0,54.0,8.05,-28.65,153.62,1563057470.0
